fen,eval_cp
r1b1kbnr/pp1ppp1p/nq6/2p3p1/8/5PPB/PPPPP2P/RNBQ1KNR w kq - 1 5,-32
r1bq1bn1/2pp1kpr/p1n2p1p/4p3/2pN2P1/1P2P3/P2PQPBP/R1B1K1NR w KQ - 0 12,631
rn1qkb1r/N2p1p2/b4p2/p4P1p/8/2P1P2N/p2P2PP/R1B1KBR1 w Qkq - 0 16,-492
r2qkbnr/p2p1p1p/b1p5/4p1Q1/4P3/3B1N2/P1PP1PPP/RNB1K2R w KQkq - 0 9,750
r3k1nr/p2p2p1/7p/P3Pp2/8/2q2PN1/2P1BKPP/1R1Q3R b - - 2 23,-478
3rk1r1/p4p2/2p5/2P4p/1n5P/1P4PN/P3K3/8 w - - 1 40,-740
4k2r/p4ppp/8/2ppP3/2b2P2/P3PP1N/1rP4R/RN2K3 w k - 0 21,451
2b2b1B/1p5p/3kB3/8/3p3p/3P3R/2P2qP1/4K3 w - - 1 31,448
rn1k1bnr/p1p4R/4Q1q1/3Pp3/1P6/P3P1P1/3P2b1/RNB1K1N1 b Q - 0 16,619
3k1b2/pP6/n5b1/P3p1p1/2P3Br/8/R4PKP/7R b - - 0 30,428
r1b1kb1r/3q1p1p/2pppP2/pN6/2P4P/1P1P2PR/P2P4/R1BQKBN1 b Qkq - 0 14,-517
2q4r/n2p4/2pkB2n/6Rp/P6P/1P6/R1P1K3/1NN5 w - - 3 35,-254
4kbn1/4p3/3p4/3p1b1r/p4P1P/P1PP2P1/1rn2K2/1NB2R2 w - - 0 22,-667
6nr/7p/1p1k1pp1/8/7P/b2K4/8/8 b - - 3 40,828
Rrb1k3/1ppp1p2/8/6B1/4P1P1/7r/5b2/1N1K1BNR b - - 1 18,-411
1n3kn1/6r1/8/5ppP/3P4/rP2RP2/3P1K1P/5B1R w - - 0 28,66
1nk5/4R3/8/p6p/P7/2K1P1NP/2P1b3/rR6 b - - 1 38,-246
